submission_date,state,prob_cases,tot_death
922,0,220978.0,16377
388,25,0.0,0
719,24,29179.0,2911
1,27,0.0,3787
257,21,157189.0,18646
846,20,456571.0,42158
599,22,101649.0,7488
258,22,278141.0,14010
776,20,193571.0,34153
172,14,0.0,0
722,0,169561.0,13755
580,7,4107.0,3176
450,20,380626.0,40485
784,15,8390.0,3210
367,20,4318.0,20527
199,20,0.0,3
611,26,160172.0,12732
515,27,0.0,2365
778,20,6869.0,23505
435,7,578130.0,38242
488,25,0.0,0
176,27,0.0,1976
155,14,0.0,30
635,27,0.0,2497
581,0,129164.0,11649
779,7,350512.0,25478
675,0,422839.0,20263
571,21,4105.0,3112
515,20,167782.0,33416
113,15,350441.0,11652
10,24,5308.0,1577
284,27,0.0,2159
834,24,549807.0,5193
821,27,0.0,2994
649,7,8153.0,4456
353,20,162877.0,32758
365,27,0.0,2224
495,22,288569.0,14472
953,7,59898.0,9873
387,0,365357.0,19694
291,20,348714.0,40134
41,26,395197.0,22033
612,11,163528.0,21176
598,21,4500.0,3307
897,21,14222.0,5547
593,14,0.0,2
718,21,6679.0,4248
351,15,359767.0,12450
279,3,128080.0,11984
879,11,4047.0,10048
412,11,0.0,6879
524,14,0.0,2
561,27,0.0,4847
791,3,52567.0,7522
89,25,0.0,0
673,20,5897.0,23353
656,26,174668.0,12963
277,3,647.0,250
856,14,0.0,3
445,14,0.0,2
32,26,94672.0,8355
271,0,82.0,118
305,3,33641.0,6201
384,25,0.0,0
670,21,5882.0,3907
131,11,131253.0,23109
396,7,571206.0,38157
265,14,0.0,1
221,14,0.0,2
876,15,215081.0,10075
998,27,0.0,3787
856,3,58177.0,7971
873,11,3823.0,9996
364,7,17.0,1404
846,3,161353.0,13365
407,24,16805.0,2463
998,7,413958.0,31418
45,0,0.0,0
855,3,7201.0,2182
47,3,110897.0,10799
906,27,0.0,3347
567,26,534872.0,26850
407,20,165807.0,33158
958,7,382891.0,30823
562,24,89.0,160
139,11,29875.0,15995
649,26,1846.0,1271
948,3,72551.0,9344
118,25,0.0,0
812,21,263795.0,22490
551,27,0.0,2395
762,7,663914.0,40025
894,25,0.0,0
